118°35'24"E,32°03'55"N	9.4																																																																																											
Record	DateTime	10	SurTem(??)	SurHum(%)	SurPre(hPa)	Tir(??)	Rain	CloudBase(km)	Vint(mm)	Lqint(mm)	0.000(km)	0.025(km)	0.050(km)	0.075(km)	0.100(km)	0.125(km)	0.150(km)	0.175(km)	0.200(km)	0.225(km)	0.250(km)	0.275(km)	0.300(km)	0.325(km)	0.350(km)	0.375(km)	0.400(km)	0.425(km)	0.450(km)	0.475(km)	0.500(km)	0.550(km)	0.600(km)	0.650(km)	0.700(km)	0.750(km)	0.800(km)	0.850(km)	0.900(km)	0.950(km)	1.000(km)	1.050(km)	1.100(km)	1.150(km)	1.200(km)	1.250(km)	1.300(km)	1.350(km)	1.400(km)	1.450(km)	1.500(km)	1.550(km)	1.600(km)	1.650(km)	1.700(km)	1.750(km)	1.800(km)	1.850(km)	1.900(km)	1.950(km)	2.000(km)	2.250(km)	2.500(km)	2.750(km)	3.000(km)	3.250(km)	3.500(km)	3.750(km)	4.000(km)	4.250(km)	4.500(km)	4.750(km)	5.000(km)	5.250(km)	5.500(km)	5.750(km)	6.000(km)	6.250(km)	6.500(km)	6.750(km)	7.000(km)	7.250(km)	7.500(km)	7.750(km)	8.000(km)	8.250(km)	8.500(km)	8.750(km)	9.000(km)	9.250(km)	9.500(km)	9.750(km)	10.000(km)	QCflag
35	2025/8/2 0:12	13	25.3	99.2	991.1	24.1	0	0.48	65.26	0.5	98.99	98.243	97.496	96.749	96.002	95.302	94.603	93.903	93.203	92.783	92.363	91.944	91.524	91.393	91.263	91.132	91.001	91.216	91.431	91.646	91.86	92.157	92.453	92.329	92.205	91.553	90.9	88.57	86.24	83.79	81.339	79.26	77.181	74.365	71.549	70.355	69.16	68.261	67.361	68.352	69.343	68.991	68.639	66.304	63.969	63.177	62.384	64.097	65.81	65.839	65.868	64.594	66.09	70.289	83.095	87.298	88.862	92.745	92.529	92.793	93.086	93.544	90.433	92.994	93	92.307	91.895	91.902	91.59	79.194	84.604	75.894	64.386	60.583	51.99	52.227	54.745	54.588	46.264	40.797	58.961	73.099	81.596	9
36	2025/8/2 0:12	14	25.3	99.2	991.1	24.1	0	0.48	65.26	0.5	0	0.083	0.167	0.25	0.333	0.372	0.41	0.449	0.487	0.38	0.272	0.165	0.057	0.043	0.029	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0.049	0.024	0	0	0	0	0	0	0	0.158	0.316	0.321	0.325	0.199	0.073	0.037	0	0	0	0.208	0	0	0.111	0.13	0	0.164	0.161	0.188	0.302	0.323	0.369	0.27	0.189	0.166	0.152	0.101	0.07	0.062	0.056	0.054	0.044	0	0	0	0	0	0	0	0	0	0	9
37	2025/8/2 0:16	11	25.3	99.2	991.1	24.3	0	0.44	65.75	0.72	25.3	25.242	25.184	25.126	25.068	25.004	24.94	24.877	24.813	24.781	24.749	24.717	24.686	24.623	24.56	24.497	24.434	24.351	24.267	24.183	24.1	23.886	23.673	23.404	23.134	22.824	22.513	22.208	21.904	21.588	21.273	20.925	20.577	20.346	20.114	19.816	19.517	19.254	18.99	18.711	18.432	18.205	17.979	17.761	17.544	17.398	17.251	17.059	16.866	16.676	16.485	15.42	14.386	13.159	12.088	10.971	9.737	8.553	7.44	6.192	4.863	3.489	2.357	1.371	0.231	-1.082	-2.596	-3.975	-5.216	-6.51	-7.595	-8.853	-10.012	-11.457	-13.033	-14.604	-16.185	-17.769	-19.522	-21.16	-22.894	-24.486	-26.516	9
38	2025/8/2 0:16	12	25.3	99.2	991.1	24.3	0	0.44	65.75	0.72	23.176	22.994	22.812	22.63	22.449	22.344	22.24	22.135	22.03	21.965	21.899	21.833	21.767	21.602	21.438	21.274	21.109	20.877	20.645	20.413	20.181	19.669	19.158	18.641	18.124	17.804	17.484	17.01	16.536	16.273	16.01	15.662	15.315	14.896	14.477	14.235	13.994	13.948	13.903	13.741	13.58	13.399	13.219	13.042	12.864	12.801	12.737	12.603	12.468	12.117	11.767	11.145	10.998	9.631	9.067	8.291	7.448	6.882	6.857	6.51	6.486	5.965	5.462	5.037	4.646	4.36	4.362	3.578	3.263	2.712	2.485	2.225	1.909	1.383	1.353	0.946	0.685	0.564	0.435	0.53	0.214	0.391	0.331	9
39	2025/8/2 0:16	13	25.3	99.2	991.1	24.3	0	0.44	65.75	0.72	98.999	98.415	97.832	97.248	96.664	96.152	95.639	95.126	94.614	94.417	94.219	94.022	93.825	93.803	93.781	93.759	93.737	94.037	94.338	94.638	94.939	95.322	95.705	95.484	95.263	94.695	94.126	92.624	91.123	89.576	88.029	86.682	85.335	83.509	81.683	80.829	79.975	79.459	78.942	79.566	80.189	79.424	78.658	76.328	73.998	72.782	71.566	72.35	73.134	72.851	72.568	68.429	67.824	68.864	78.173	82.121	82.944	87.223	87.451	88.182	89.619	90.704	88.653	92.99	92.991	92.309	91.903	91.897	91.592	81.347	87.459	84.371	76.161	74.179	63.538	63.87	66.073	65.953	57.988	49.665	64.375	77.172	81.598	9
40	2025/8/2 0:16	14	25.3	99.2	991.1	24.3	0	0.44	65.75	0.72	0	0.106	0.212	0.319	0.425	0.484	0.542	0.601	0.66	0.592	0.523	0.455	0.386	0.362	0.339	0.315	0.291	0.267	0.244	0.22	0.196	0.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0.21	0.218	0.225	0.146	0.067	0.034	0	0	0	0.129	0	0	0.105	0.122	0	0.17	0.217	0.271	0.367	0.386	0.419	0.321	0.232	0.212	0.159	0.098	0.076	0.065	0.059	0.057	0.045	0.002	0	0	0	0	0	0	0	0	0	9
41	2025/8/2 0:18	11	25.4	99.2	991.1	24	0	0.53	66.57	0.92	25.4	25.342	25.284	25.226	25.168	25.099	25.029	24.959	24.889	24.853	24.817	24.781	24.745	24.677	24.61	24.542	24.475	24.388	24.301	24.214	24.127	23.909	23.691	23.416	23.141	22.831	22.522	22.215	21.908	21.593	21.277	20.93	20.582	20.35	20.117	19.821	19.524	19.256	18.989	18.712	18.434	18.208	17.981	17.759	17.538	17.391	17.244	17.05	16.857	16.663	16.47	15.408	14.377	13.154	12.093	10.974	9.755	8.575	7.471	6.232	4.918	3.55	2.414	1.43	0.279	-1.039	-2.55	-3.936	-5.175	-6.474	-7.558	-8.829	-9.998	-11.444	-13.017	-14.581	-16.165	-17.756	-19.512	-21.15	-22.889	-24.487	-26.518	9
42	2025/8/2 0:18	12	25.4	99.2	991.1	24	0	0.53	66.57	0.92	23.305	23.148	22.99	22.833	22.675	22.572	22.468	22.365	22.261	22.194	22.127	22.06	21.993	21.828	21.663	21.498	21.333	21.112	20.891	20.67	20.449	19.952	19.455	18.961	18.467	18.139	17.81	17.399	16.988	16.699	16.409	16.127	15.844	15.454	15.064	14.859	14.653	14.568	14.482	14.359	14.236	14.054	13.871	13.677	13.483	13.347	13.21	13.059	12.907	12.592	12.276	11.527	11.212	9.932	9.184	8.308	7.449	6.919	6.743	6.444	6.405	5.967	5.469	5.036	4.647	4.358	4.325	3.622	3.211	2.671	2.442	2.191	1.904	1.487	1.352	1.035	0.788	0.666	0.525	0.54	0.295	0.392	0.323	9
43	2025/8/2 0:18	13	25.4	99.2	991.1	24	0	0.53	66.57	0.92	98.996	98.455	97.914	97.372	96.831	96.39	95.949	95.508	95.067	94.951	94.835	94.72	94.604	94.644	94.683	94.723	94.763	95.145	95.528	95.911	96.294	96.823	97.353	97.166	96.98	96.478	95.976	94.801	93.625	92.443	91.261	90.376	89.491	88.113	86.736	85.894	85.053	84.556	84.06	84.456	84.851	84.06	83.268	81.197	79.125	78.206	77.286	77.89	78.495	78.335	78.175	73.858	71.969	70.89	77.923	80.897	81.066	84.628	84.531	85.325	87.614	88.125	86.52	91.68	92.995	92.306	91.901	91.903	89.98	82.162	88.519	87.954	82.278	80.739	70.405	70.865	72.111	73.212	66.147	56.997	68.647	80.004	81.605	9
44	2025/8/2 0:18	14	25.4	99.2	991.1	24	0	0.53	66.57	0.92	0	0.12	0.24	0.36	0.48	0.54	0.6	0.66	0.719	0.692	0.664	0.636	0.608	0.623	0.638	0.653	0.667	0.612	0.557	0.502	0.447	0.229	0.01	0.034	0.058	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085	0.169	0.175	0.18	0.135	0.09	0.045	0	0	0	0.072	0	0	0.093	0.13	0	0.178	0.262	0.338	0.418	0.434	0.456	0.356	0.264	0.247	0.169	0.099	0.085	0.071	0.065	0.062	0.048	0.007	0	0	0	0	0	0	0	0	0	9
45	2025/8/2 0:20	11	25.3	99.1	991.1	24.2	0	0.5	67.43	1.06	25.3	25.249	25.198	25.147	25.096	25.035	24.973	24.911	24.849	24.824	24.8	24.775	24.75	24.69	24.63	24.57	24.51	24.43	24.35	24.269	24.189	23.978	23.766	23.493	23.22	22.91	22.599	22.29	21.981	21.661	21.341	20.989	20.638	20.405	20.172	19.876	19.58	19.309	19.038	18.76	18.482	18.253	18.024	17.8	17.575	17.428	17.282	17.086	16.89	16.696	16.502	15.437	14.395	13.158	12.083	10.954	9.726	8.548	7.436	6.182	4.857	3.486	2.35	1.37	0.218	-1.084	-2.597	-3.985	-5.223	-6.523	-7.602	-8.868	-10.03	-11.474	-13.054	-14.609	-16.2	-17.79	-19.536	-21.172	-22.902	-24.489	-26.523	9
46	2025/8/2 0:20	12	25.3	99.1	991.1	24.2	0	0.5	67.43	1.06	23.175	23.027	22.879	22.731	22.583	22.49	22.397	22.304	22.211	22.155	22.1	22.044	21.988	21.834	21.679	21.525	21.371	21.168	20.965	20.762	20.559	20.1	19.64	19.18	18.72	18.402	18.084	17.721	17.359	17.064	16.768	16.533	16.297	15.935	15.572	15.388	15.203	15.091	14.98	14.875	14.77	14.584	14.398	14.195	13.992	13.809	13.626	13.458	13.291	12.989	12.687	11.839	11.409	10.187	9.324	8.377	7.513	6.976	6.721	6.431	6.373	5.961	5.464	5.038	4.639	4.353	4.251	3.622	3.148	2.631	2.401	2.153	1.888	1.53	1.347	1.076	0.841	0.719	0.572	0.539	0.339	0.392	0.317	9
47	2025/8/2 0:20	13	25.3	99.1	991.1	24.2	0	0.5	67.43	1.06	98.998	98.459	97.92	97.382	96.843	96.446	96.048	95.651	95.254	95.181	95.107	95.034	94.96	95.023	95.086	95.148	95.211	95.639	96.066	96.494	96.922	97.532	98.141	98.029	97.918	97.473	97.028	96.032	95.037	94.012	92.986	92.404	91.821	90.768	89.716	88.925	88.135	87.651	87.168	87.487	87.806	87.078	86.35	84.499	82.647	81.911	81.175	81.691	82.207	82.134	82.061	78.089	75.923	74.226	79.66	81.628	81.282	84.072	83.471	84.122	86.562	86.759	85.386	90.132	92.992	92.305	91.903	91.904	88.477	82.218	88.65	88.586	83.658	82.143	72.338	72.509	73.345	75.384	68.822	59.695	70.064	80.55	81.596	9
48	2025/8/2 0:20	14	25.3	99.1	991.1	24.2	0	0.5	67.43	1.06	0	0.132	0.265	0.397	0.529	0.601	0.672	0.743	0.815	0.811	0.807	0.803	0.799	0.859	0.919	0.98	1.04	0.947	0.854	0.762	0.669	0.44	0.21	0.208	0.206	0.126	0.047	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0.13	0.13	0.13	0.109	0.087	0.044	0	0	0	0.048	0	0	0.091	0.129	0	0.192	0.29	0.381	0.45	0.463	0.487	0.377	0.281	0.265	0.17	0.097	0.085	0.07	0.065	0.062	0.049	0.009	0	0	0	0	0	0	0	0	0	9
49	2025/8/2 0:20	11	25.3	99.1	991.1	23.9	0	0.56	68.09	1.12	25.3	25.248	25.195	25.143	25.091	25.029	24.967	24.906	24.844	24.818	24.791	24.765	24.739	24.679	24.619	24.558	24.498	24.417	24.337	24.256	24.175	23.963	23.751	23.48	23.208	22.898	22.589	22.281	21.974	21.655	21.336	20.986	20.636	20.403	20.17	19.874	19.578	19.308	19.039	18.761	18.483	18.254	18.026	17.802	17.579	17.431	17.284	17.088	16.893	16.7	16.507	15.441	14.4	13.164	12.088	10.962	9.733	8.555	7.441	6.19	4.865	3.494	2.359	1.377	0.228	-1.074	-2.584	-3.968	-5.206	-6.504	-7.587	-8.853	-10.017	-11.462	-13.04	-14.598	-16.185	-17.774	-19.521	-21.158	-22.887	-24.477	-26.509	9
50	2025/8/2 0:20	12	25.3	99.1	991.1	23.9	0	0.56	68.09	1.12	23.175	23.045	22.916	22.786	22.657	22.576	22.495	22.414	22.334	22.289	22.245	22.2	22.156	22.007	21.859	21.71	21.561	21.363	21.164	20.966	20.767	20.312	19.857	19.401	18.944	18.631	18.319	17.979	17.639	17.335	17.03	16.817	16.604	16.241	15.879	15.705	15.531	15.406	15.281	15.191	15.1	14.918	14.736	14.526	14.316	14.106	13.895	13.726	13.556	13.261	12.966	12.086	11.626	10.401	9.44	8.414	7.523	6.977	6.678	6.395	6.341	5.969	5.463	5.041	4.645	4.361	4.226	3.637	3.126	2.614	2.384	2.142	1.889	1.563	1.352	1.104	0.872	0.75	0.598	0.545	0.362	0.396	0.318	9
51	2025/8/2 0:20	13	25.3	99.1	991.1	23.9	0	0.56	68.09	1.12	98.995	98.453	97.91	97.367	96.824	96.456	96.088	95.719	95.351	95.31	95.268	95.227	95.186	95.272	95.358	95.445	95.531	95.989	96.448	96.906	97.365	97.754	98.143	98.35	98.557	98.145	97.733	96.818	95.902	94.918	93.934	93.461	92.988	92.096	91.203	90.423	89.644	89.13	88.616	88.901	89.186	88.516	87.847	86.105	84.362	83.756	83.15	83.671	84.191	84.169	84.146	80.607	78.388	76.453	80.874	82.194	81.437	83.788	82.694	83.341	85.579	85.48	84.23	89.115	92.992	92.306	91.901	91.754	88.013	82.395	88.746	88.723	84.26	82.663	73.172	73.348	73.7	76.33	70.146	61.089	70.92	80.966	81.605	9
52	2025/8/2 0:20	14	25.3	99.1	991.1	23.9	0	0.56	68.09	1.12	0	0.13	0.26	0.391	0.521	0.587	0.653	0.719	0.785	0.791	0.797	0.802	0.808	0.891	0.974	1.057	1.141	1.04	0.939	0.838	0.738	0.507	0.277	0.272	0.267	0.191	0.116	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0.134	0.128	0.122	0.108	0.094	0.047	0	0	0	0.036	0	0	0.092	0.142	0	0.206	0.314	0.412	0.475	0.485	0.509	0.389	0.291	0.276	0.175	0.1	0.089	0.072	0.067	0.064	0.051	0.01	0	0	0	0	0	0	0	0	0	9
53	2025/8/2 0:24	11	25.3	99.1	991	24.1	0	0.48	68.99	1.28	25.3	25.241	25.182	25.122	25.063	24.994	24.925	24.857	24.788	24.752	24.717	24.682	24.647	24.579	24.511	24.443	24.375	24.288	24.201	24.114	24.027	23.811	23.594	23.321	23.048	22.739	22.43	22.124	21.818	21.503	21.189	20.841	20.492	20.264	20.035	19.737	19.438	19.173	18.909	18.632	18.356	18.131	17.907	17.689	17.472	17.328	17.185	16.992	16.8	16.61	16.42	15.367	14.344	13.128	12.071	10.96	9.733	8.551	7.444	6.198	4.879	3.508	2.374	1.393	0.249	-1.076	-2.591	-3.981	-5.216	-6.51	-7.59	-8.852	-10.009	-11.454	-13.032	-14.597	-16.185	-17.772	-19.531	-21.17	-22.906	-24.499	-26.533	9
54	2025/8/2 0:24	12	25.3	99.1	991	24.1	0	0.48	68.99	1.28	23.174	23.05	22.927	22.804	22.68	22.602	22.524	22.446	22.368	22.324	22.28	22.236	22.192	22.042	21.892	21.742	21.592	21.398	21.203	21.009	20.815	20.366	19.917	19.476	19.035	18.717	18.398	18.1	17.801	17.48	17.159	16.993	16.828	16.474	16.12	15.971	15.822	15.671	15.521	15.464	15.406	15.236	15.067	14.854	14.641	14.393	14.144	13.975	13.805	13.541	13.276	12.404	11.914	10.754	9.681	8.573	7.669	7.129	6.741	6.48	6.412	5.967	5.469	5.043	4.646	4.358	4.209	3.699	3.116	2.607	2.373	2.131	1.894	1.637	1.356	1.162	0.935	0.813	0.653	0.554	0.412	0.399	0.315	9
55	2025/8/2 0:24	13	25.3	99.1	991	24.1	0	0.48	68.99	1.28	98.991	98.454	97.917	97.38	96.843	96.523	96.203	95.883	95.564	95.578	95.592	95.606	95.62	95.721	95.822	95.922	96.023	96.496	96.97	97.443	97.916	98.029	98.141	98.514	98.887	98.707	98.527	97.845	97.163	96.264	95.364	95.09	94.816	94.235	93.653	93.005	92.356	91.891	91.426	91.69	91.954	91.41	90.866	89.364	87.862	87.35	86.838	87.223	87.608	87.574	87.54	84.278	81.769	79.33	82.268	82.524	81.065	82.857	80.668	81.116	83.255	83.123	82.473	87.527	92.999	92.305	91.893	91.416	88.006	83.226	89.202	88.885	84.726	82.448	73.391	73.123	72.619	76.276	70.392	61.122	70.444	79.972	81.606	9
56	2025/8/2 0:24	14	25.3	99.1	991	24.1	0	0.48	68.99	1.28	0	0.126	0.252	0.377	0.503	0.566	0.628	0.691	0.753	0.782	0.81	0.839	0.867	0.993	1.12	1.246	1.372	1.261	1.149	1.038	0.926	0.694	0.462	0.449	0.437	0.365	0.293	0.146	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.16	0.145	0.131	0.131	0.131	0.065	0	0	0	0.005	0	0	0.08	0.157	0	0.219	0.337	0.44	0.501	0.507	0.531	0.404	0.307	0.293	0.182	0.105	0.097	0.078	0.074	0.07	0.055	0.014	0	0	0	0	0	0	0	0	0	9
57	2025/8/2 0:24	11	25.3	99.1	991	24.4	0	0.39	70.81	1.61	25.3	25.241	25.182	25.124	25.065	24.997	24.929	24.861	24.794	24.758	24.723	24.687	24.652	24.585	24.518	24.451	24.384	24.297	24.21	24.122	24.035	23.818	23.601	23.328	23.055	22.746	22.436	22.13	21.824	21.51	21.195	20.847	20.5	20.27	20.041	19.742	19.443	19.179	18.915	18.638	18.361	18.135	17.909	17.692	17.475	17.33	17.185	16.992	16.8	16.609	16.419	15.363	14.34	13.123	12.066	10.956	9.731	8.55	7.442	6.199	4.882	3.512	2.379	1.398	0.256	-1.064	-2.577	-3.962	-5.196	-6.49	-7.575	-8.837	-9.997	-11.444	-13.021	-14.586	-16.169	-17.757	-19.515	-21.154	-22.887	-24.481	-26.512	9
58	2025/8/2 0:24	12	25.3	99.1	991	24.4	0	0.39	70.81	1.61	23.175	23.081	22.986	22.892	22.797	22.742	22.687	22.632	22.577	22.551	22.525	22.499	22.473	22.337	22.201	22.065	21.93	21.753	21.576	21.4	21.223	20.808	20.393	19.988	19.584	19.268	18.953	18.72	18.488	18.141	17.794	17.692	17.59	17.253	16.916	16.784	16.653	16.442	16.23	16.197	16.164	16.004	15.844	15.615	15.387	15.054	14.721	14.533	14.345	14.113	13.88	12.966	12.418	11.352	10.069	8.802	7.874	7.306	6.767	6.503	6.387	5.968	5.463	5.036	4.639	4.36	4.071	3.707	3.019	2.535	2.291	2.058	1.859	1.712	1.343	1.226	1.02	0.896	0.727	0.557	0.486	0.398	0.306	9
59	2025/8/2 0:24	13	25.3	99.1	991	24.4	0	0.39	70.81	1.61	98.998	98.445	97.892	97.339	96.785	96.6	96.415	96.23	96.045	96.218	96.39	96.562	96.735	96.862	96.989	97.116	97.243	97.431	97.618	97.806	97.993	98.068	98.143	98.511	98.88	98.702	98.525	98.259	97.993	97.991	97.99	97.992	97.994	97.994	97.994	97.917	97.84	97.556	97.272	97.584	97.896	97.668	97.439	96.474	95.51	95.018	94.526	94.557	94.589	94.4	94.212	91.406	88.443	85.548	85.398	83.444	80.229	80.758	75.279	74.997	75.743	76.105	77.187	83.155	92.073	92.307	91.896	91.123	87.922	82.475	86.554	82.923	77.894	72.693	64.208	62.449	59.448	65.65	60.052	50.285	60.328	69.35	80.922	9
60	2025/8/2 0:24	14	25.3	99.1	991	24.4	0	0.39	70.81	1.61	0	0.093	0.185	0.278	0.37	0.404	0.438	0.472	0.506	0.549	0.591	0.633	0.676	0.836	0.996	1.157	1.317	1.247	1.177	1.107	1.037	0.866	0.695	0.701	0.707	0.68	0.653	0.389	0.124	0.063	0.001	0.001	0	0	0	0	0	0	0	0	0	0.176	0.352	0.301	0.251	0.254	0.257	0.129	0	0	0	0	0	0	0.065	0.208	0	0.245	0.362	0.458	0.517	0.518	0.542	0.399	0.31	0.296	0.194	0.116	0.113	0.092	0.088	0.083	0.065	0.022	0	0	0	0	0	0	0	0	0	9
61	2025/8/2 0:28	11	25.3	99.1	991	24.5	0	0.37	73.05	2.03	25.3	25.244	25.188	25.132	25.075	25.008	24.941	24.874	24.808	24.776	24.744	24.713	24.681	24.616	24.551	24.485	24.42	24.335	24.25	24.165	24.081	23.865	23.65	23.377	23.103	22.794	22.485	22.177	21.87	21.553	21.236	20.887	20.538	20.307	20.077	19.78	19.483	19.216	18.949	18.672	18.396	18.17	17.944	17.724	17.504	17.36	17.216	17.022	16.829	16.638	16.446	15.392	14.364	13.142	12.081	10.964	9.738	8.559	7.452	6.204	4.885	3.514	2.378	1.398	0.251	-1.065	-2.579	-3.968	-5.204	-6.5	-7.579	-8.841	-9.999	-11.443	-13.022	-14.581	-16.17	-17.759	-19.513	-21.151	-22.884	-24.475	-26.509	9
62	2025/8/2 0:28	12	25.3	99.1	991	24.5	0	0.37	73.05	2.03	23.175	23.136	23.097	23.058	23.019	23.008	22.996	22.985	22.974	22.981	22.989	22.997	23.005	22.887	22.77	22.653	22.535	22.37	22.205	22.04	21.875	21.476	21.076	20.69	20.304	19.989	19.673	19.507	19.34	18.952	18.565	18.526	18.486	18.128	17.77	17.646	17.523	17.236	16.95	16.941	16.932	16.8	16.667	16.416	16.165	15.727	15.289	15.087	14.885	14.685	14.486	13.621	12.582	11.801	10.565	9.059	8.067	7.451	6.757	6.501	6.354	5.967	5.464	5.04	4.642	4.359	3.955	3.765	2.947	2.476	2.222	2.001	1.846	1.767	1.349	1.312	1.123	0.993	0.812	0.575	0.57	0.406	0.306	9
63	2025/8/2 0:28	13	25.3	99.1	991	24.5	0	0.37	73.05	2.03	98.995	98.403	97.812	97.22	96.628	96.624	96.619	96.615	96.61	96.986	97.363	97.739	98.116	98.085	98.054	98.024	97.993	97.994	97.995	97.997	97.998	98.069	98.139	98.509	98.879	98.704	98.529	98.261	97.994	97.994	97.995	97.993	97.992	97.993	97.993	97.993	97.992	97.991	97.991	97.951	97.911	97.822	97.734	97.644	97.554	97.469	97.384	97.296	97.207	97.119	97.03	96.761	94.288	91.581	88.687	84.522	79.12	78.79	68.2	66.918	63.869	65.791	69.805	78.944	91.932	92.307	91.894	91.896	91.106	82.017	82.645	70.691	62.913	51.545	44.935	40.832	34.14	42.348	37.805	28.588	40.096	48.042	62.698	9
64	2025/8/2 0:28	14	25.3	99.1	991	24.5	0	0.37	73.05	2.03	0	0.055	0.109	0.164	0.219	0.192	0.165	0.138	0.111	0.146	0.181	0.216	0.251	0.309	0.366	0.423	0.481	0.508	0.535	0.563	0.59	0.475	0.359	0.409	0.458	0.454	0.45	0.425	0.399	0.357	0.314	0.324	0.334	0.263	0.193	0.096	0	0	0	0.04	0.08	0.515	0.949	0.843	0.737	0.69	0.643	0.429	0.215	0.151	0.087	0.146	0	0	0.09	0.323	0.02	0.207	0.305	0.38	0.467	0.487	0.505	0.353	0.283	0.276	0.232	0.157	0.157	0.13	0.125	0.117	0.09	0.04	0	0	0	0	0	0	0	0	0	9
65	2025/8/2 0:28	11	25.3	99.1	991	24.6	0	0.32	75.61	2.47	25.3	25.241	25.183	25.124	25.065	24.997	24.93	24.862	24.794	24.759	24.725	24.69	24.655	24.588	24.521	24.454	24.387	24.301	24.214	24.127	24.04	23.824	23.608	23.335	23.062	22.753	22.443	22.137	21.83	21.515	21.2	20.852	20.504	20.275	20.046	19.747	19.448	19.183	18.918	18.641	18.364	18.139	17.914	17.696	17.479	17.335	17.19	16.998	16.805	16.615	16.425	15.368	14.345	13.127	12.068	10.956	9.73	8.547	7.439	6.193	4.874	3.503	2.37	1.388	0.245	-1.078	-2.593	-3.981	-5.216	-6.511	-7.592	-8.854	-10.012	-11.458	-13.036	-14.602	-16.188	-17.774	-19.532	-21.171	-22.907	-24.5	-26.533	9
66	2025/8/2 0:28	12	25.3	99.1	991	24.6	0	0.32	75.61	2.47	23.175	23.186	23.197	23.207	23.218	23.267	23.316	23.364	23.413	23.469	23.524	23.58	23.635	23.542	23.449	23.357	23.264	23.097	22.931	22.765	22.599	22.187	21.775	21.38	20.986	20.672	20.358	20.219	20.08	19.667	19.254	19.234	19.213	18.79	18.366	18.215	18.065	17.715	17.366	17.346	17.325	17.231	17.136	16.838	16.54	16.045	15.55	15.336	15.123	14.925	14.727	13.64	12.578	11.806	11.114	9.429	8.369	7.643	6.871	6.54	6.351	5.966	5.468	5.038	4.639	4.355	3.834	3.764	2.879	2.405	2.13	1.917	1.795	1.763	1.328	1.32	1.145	0.991	0.828	0.578	0.603	0.407	0.307	9
67	2025/8/2 0:28	13	25.3	99.1	991	24.6	0	0.32	75.61	2.47	98.996	98.266	97.536	96.806	96.075	96.193	96.311	96.428	96.546	96.938	97.329	97.721	98.113	98.083	98.053	98.023	97.992	97.993	97.994	97.995	97.995	98.069	98.144	98.514	98.884	98.702	98.521	98.258	97.995	97.997	97.999	97.997	97.995	97.996	97.996	97.998	97.999	97.996	97.993	97.952	97.911	97.82	97.728	97.641	97.554	97.469	97.383	97.291	97.199	97.113	97.027	96.762	96.149	95.646	91.871	86.517	80.08	79.514	65.201	62.699	56.124	59.267	65.216	78.103	92.995	92.31	91.896	91.897	91.589	82.093	79.718	58.749	48.968	32.393	28.325	22.313	14.359	21.807	19.014	11.619	21.792	27.664	42.837	9
68	2025/8/2 0:28	14	25.3	99.1	991	24.6	0	0.32	75.61	2.47	0	0.067	0.135	0.202	0.27	0.202	0.135	0.067	0	0.004	0.008	0.011	0.015	0.011	0.008	0.004	0	0.041	0.082	0.123	0.164	0.082	0	0	0	0	0	0.166	0.332	0.358	0.383	0.446	0.509	0.491	0.474	0.237	0	0	0	0.117	0.233	0.943	1.652	1.533	1.414	1.315	1.215	0.949	0.682	0.649	0.616	0.43	0.232	0	0.162	0.502	0.045	0.132	0.207	0.27	0.402	0.445	0.467	0.306	0.266	0.273	0.299	0.229	0.223	0.19	0.182	0.17	0.129	0.068	0	0	0	0	0	0	0	0	0	9
69	2025/8/2 0:30	11	25.3	99.2	990.9	24.7	0	0.28	80.49	3.07	25.3	25.241	25.183	25.124	25.065	25	24.934	24.868	24.802	24.769	24.735	24.702	24.668	24.603	24.538	24.473	24.408	24.323	24.238	24.152	24.067	23.851	23.636	23.365	23.094	22.783	22.473	22.168	21.862	21.547	21.232	20.883	20.534	20.304	20.075	19.776	19.476	19.213	18.95	18.672	18.393	18.168	17.943	17.727	17.511	17.367	17.222	17.031	16.839	16.65	16.46	15.403	14.378	13.159	12.097	10.984	9.755	8.573	7.465	6.221	4.897	3.523	2.39	1.408	0.269	-1.05	-2.565	-3.947	-5.184	-6.477	-7.558	-8.814	-9.969	-11.414	-12.99	-14.558	-16.14	-17.724	-19.481	-21.119	-22.853	-24.445	-26.477	9
70	2025/8/2 0:30	12	25.3	99.2	990.9	24.7	0	0.28	80.49	3.07	23.174	23.305	23.435	23.566	23.697	23.89	24.082	24.275	24.468	24.648	24.828	25.008	25.188	25.154	25.121	25.087	25.054	24.866	24.678	24.49	24.302	23.815	23.328	22.838	22.347	22.046	21.745	21.562	21.379	20.91	20.441	20.384	20.328	19.693	19.057	18.788	18.518	18.102	17.687	17.574	17.462	17.417	17.371	16.953	16.535	16.035	15.535	15.309	15.083	14.814	14.544	13.643	12.587	11.805	11.121	9.961	8.738	7.754	7.032	6.513	6.309	5.961	5.471	5.044	4.646	4.356	3.757	3.769	2.872	2.353	2.044	1.844	1.747	1.76	1.324	1.251	1.079	0.921	0.757	0.594	0.571	0.42	0.333	9
