118°50'50"E	32°22'07"N	6.5																																																																																											
37	2025/8/2 0:18	11	25.5	94.2	997.1	-7.6	0	6.72	0	0	25.5	25.439	25.378	25.317	25.256	25.234	25.212	25.19	25.168	25.146	25.124	25.102	25.08	25.057	25.034	25.011	24.988	24.94	24.893	24.845	24.798	24.641	24.484	24.291	24.097	23.796	23.495	23.227	22.958	22.664	22.37	22.064	21.759	21.504	21.248	20.962	20.676	20.421	20.166	19.863	19.561	19.288	19.015	18.771	18.527	18.287	18.047	17.797	17.546	17.308	17.07	15.747	14.435	13.116	11.812	10.664	9.186	7.892	6.583	5.209	3.773	2.458	1.282	0.059	-1.12	-2.2	-3.643	-4.97	-6.352	-7.74	-9.026	-10.312	-11.632	-13.082	-14.621	-16.247	-17.812	-19.385	-21.053	-22.743	-24.431	-26.065	-27.885	9
38	2025/8/2 0:18	12	25.5	94.2	997.1	-7.6	0	6.72	0	0	22.301	21.582	20.863	20.144	19.425	18.915	18.405	17.895	17.385	16.5	15.615	14.73	13.845	13.142	12.439	11.736	11.033	10.39	9.748	9.105	8.463	7.779	7.095	6.717	6.34	5.8	5.26	4.22	3.181	3.039	2.896	2.931	2.965	2.461	1.958	1.377	0.797	0.724	0.652	0.535	0.418	0.49	0.562	0.683	0.804	0.989	1.175	1.182	1.19	1.142	1.095	0.871	0.214	0.294	2.251	2.38	2.693	2.016	1.396	1.556	1.924	2.094	0.378	1.218	1.03	0.595	0.149	0.213	0.72	0.51	0.495	0.643	0.448	0.12	0.547	0.14	0.01	0.016	0.015	0.333	0.009	0.256	0.16	9
39	2025/8/2 0:18	13	25.5	94.2	997.1	-7.6	0	6.72	0	0	94.2	91.78	89.36	86.94	84.52	83.625	82.729	81.833	80.938	77.779	74.619	71.46	68.301	63.883	59.466	55.049	50.632	48.098	45.565	43.032	40.498	40.727	40.955	40.055	39.154	36.296	33.437	29.6	25.763	22.385	19.007	17.744	16.481	15.37	14.259	8.961	3.664	3.606	3.548	2.95	2.351	2.831	3.311	4.075	4.838	5.451	6.064	6.477	6.89	6.7	6.511	5.56	6.214	16.804	41.082	42.471	32.721	37.992	33.297	23.147	10.862	24.216	12.434	9.384	1.009	1.007	1.004	1.008	1.009	1.009	1.001	1.006	1.009	1.009	9.609	1.009	1.003	1.312	1.009	16.66	34.103	28.781	26.64	9
40	2025/8/2 0:18	14	25.5	94.2	997.1	-7.6	0	6.72	0	0	2.164	1.891	1.618	1.346	1.073	1.133	1.192	1.251	1.311	1.183	1.056	0.929	0.801	0.772	0.743	0.714	0.684	0.562	0.44	0.318	0.196	0.148	0.099	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.028	0	0.035	0	0.021	0.075	0.068	0.058	0.025	0.017	0.017	0.017	0.014	0.013	0.013	0.02	0	0	0	0	0	0	0	0	0	9
41	2025/8/2 0:20	11	25.5	94.2	997.1	-7.6	0	6.72	0	0	25.5	25.442	25.385	25.327	25.269	25.248	25.227	25.205	25.184	25.165	25.147	25.129	25.11	25.088	25.067	25.045	25.023	24.977	24.931	24.885	24.839	24.682	24.525	24.329	24.134	23.83	23.527	23.255	22.984	22.687	22.39	22.082	21.773	21.517	21.26	20.974	20.688	20.43	20.172	19.869	19.566	19.292	19.018	18.772	18.525	18.287	18.049	17.797	17.546	17.306	17.066	15.744	14.427	13.105	11.8	10.647	9.169	7.878	6.568	5.192	3.756	2.439	1.263	0.043	-1.14	-2.218	-3.668	-4.999	-6.383	-7.774	-9.055	-10.341	-11.656	-13.105	-14.646	-16.269	-17.839	-19.414	-21.08	-22.767	-24.454	-26.084	-27.906	9
42	2025/8/2 0:20	12	25.5	94.2	997.1	-7.6	0	6.72	0	0	22.301	21.578	20.855	20.131	19.408	18.899	18.39	17.88	17.371	16.489	15.606	14.723	13.841	13.14	12.44	11.74	11.04	10.4	9.761	9.121	8.481	7.801	7.121	6.728	6.336	5.809	5.282	4.241	3.201	3.05	2.9	2.933	2.965	2.461	1.956	1.373	0.789	0.722	0.655	0.533	0.411	0.488	0.566	0.686	0.807	0.992	1.178	1.184	1.191	1.139	1.087	0.877	0.206	0.292	2.244	2.369	2.673	1.995	1.38	1.539	1.896	2.069	0.361	1.2	1.008	0.578	0.135	0.19	0.708	0.503	0.491	0.643	0.448	0.109	0.547	0.132	0.012	0.016	0.007	0.334	0.012	0.256	0.16	9
43	2025/8/2 0:20	13	25.5	94.2	997.1	-7.6	0	6.72	0	0	94.2	91.782	89.363	86.945	84.527	83.633	82.738	81.844	80.95	77.793	74.635	71.478	68.321	63.906	59.49	55.075	50.66	48.129	45.598	43.067	40.536	40.767	40.999	40.1	39.201	36.344	33.487	29.651	25.816	22.434	19.053	17.79	16.528	15.395	14.262	8.961	3.66	3.604	3.548	2.948	2.348	2.83	3.312	4.077	4.841	5.453	6.065	6.482	6.898	6.704	6.509	5.561	6.233	16.826	41.072	42.433	32.672	37.927	33.229	23.068	10.792	24.1	12.34	9.3	1.002	1.003	1.007	1.009	1.003	1.005	1.008	1.002	1.003	1.008	9.573	1.002	1.007	1.3	1.001	16.642	34.096	28.774	26.656	9
44	2025/8/2 0:20	14	25.5	94.2	997.1	-7.6	0	6.72	0	0	2.163	1.891	1.618	1.346	1.073	1.132	1.192	1.251	1.31	1.183	1.055	0.928	0.801	0.772	0.742	0.713	0.684	0.562	0.44	0.318	0.196	0.147	0.099	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.028	0	0.035	0	0.021	0.075	0.068	0.058	0.025	0.017	0.017	0.017	0.014	0.013	0.013	0.02	0	0	0	0	0	0	0	0	0	9
45	2025/8/2 0:22	11	25.5	94.2	997.1	-7.6	0	6.72	0	0	25.5	25.441	25.382	25.323	25.263	25.241	25.219	25.196	25.174	25.154	25.133	25.113	25.093	25.07	25.047	25.024	25.002	24.954	24.907	24.86	24.813	24.656	24.498	24.303	24.108	23.805	23.503	23.233	22.963	22.667	22.371	22.064	21.757	21.501	21.245	20.96	20.674	20.417	20.16	19.858	19.556	19.282	19.009	18.763	18.517	18.278	18.04	17.789	17.537	17.298	17.059	15.738	14.425	13.106	11.804	10.654	9.178	7.887	6.579	5.205	3.771	2.456	1.279	0.059	-1.124	-2.201	-3.647	-4.977	-6.359	-7.749	-9.032	-10.319	-11.637	-13.086	-14.626	-16.248	-17.816	-19.391	-21.058	-22.746	-24.431	-26.064	-27.884	9
46	2025/8/2 0:22	12	25.5	94.2	997.1	-7.6	0	6.72	0	0	22.301	21.579	20.857	20.135	19.413	18.902	18.391	17.88	17.369	16.484	15.598	14.713	13.827	13.125	12.423	11.721	11.019	10.377	9.736	9.094	8.453	7.771	7.089	6.715	6.341	5.8	5.259	4.214	3.168	3.031	2.895	2.931	2.968	2.46	1.953	1.374	0.796	0.724	0.652	0.532	0.412	0.488	0.564	0.685	0.806	0.994	1.182	1.186	1.191	1.139	1.087	0.873	0.213	0.307	2.273	2.396	2.701	2.018	1.401	1.557	1.917	2.086	0.365	1.209	1.016	0.579	0.136	0.189	0.709	0.502	0.489	0.641	0.445	0.105	0.546	0.129	0.011	0.009	0.007	0.334	0.009	0.256	0.16	9
47	2025/8/2 0:22	13	25.5	94.2	997.1	-7.6	0	6.72	0	0	94.2	91.782	89.364	86.946	84.528	83.634	82.739	81.844	80.95	77.791	74.632	71.473	68.314	63.897	59.48	55.062	50.645	48.113	45.58	43.048	40.516	40.745	40.975	40.075	39.174	36.316	33.458	29.624	25.789	22.41	19.031	17.77	16.508	15.386	14.263	8.961	3.659	3.605	3.551	2.952	2.352	2.833	3.314	4.08	4.846	5.457	6.069	6.479	6.89	6.703	6.517	5.562	6.25	16.835	41.081	42.439	32.675	37.931	33.225	23.074	10.802	24.125	12.368	9.325	1.008	1.005	1.004	1	1.001	1.001	1.009	1.003	1.01	1.006	9.618	1.003	1.001	1.32	1.009	16.68	34.12	28.788	26.651	9
48	2025/8/2 0:22	14	25.5	94.2	997.1	-7.6	0	6.72	0	0	2.163	1.89	1.618	1.345	1.073	1.132	1.191	1.25	1.309	1.182	1.055	0.927	0.8	0.771	0.741	0.712	0.683	0.561	0.439	0.317	0.196	0.147	0.098	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.028	0	0.035	0	0.02	0.075	0.068	0.058	0.025	0.017	0.017	0.017	0.014	0.013	0.013	0.02	0	0	0	0	0	0	0	0	0	9
49	2025/8/2 0:24	11	25.5	94.2	997.1	-7.6	0	6.72	0	0	25.5	25.442	25.385	25.327	25.269	25.249	25.228	25.207	25.186	25.168	25.15	25.133	25.115	25.094	25.072	25.051	25.03	24.985	24.939	24.894	24.849	24.693	24.538	24.343	24.148	23.844	23.541	23.27	22.999	22.702	22.405	22.096	21.788	21.531	21.274	20.988	20.702	20.444	20.186	19.883	19.581	19.307	19.033	18.787	18.541	18.302	18.064	17.813	17.562	17.323	17.084	15.761	14.443	13.118	11.811	10.655	9.175	7.883	6.573	5.196	3.756	2.438	1.261	0.04	-1.142	-2.221	-3.671	-5.004	-6.388	-7.779	-9.059	-10.343	-11.658	-13.106	-14.647	-16.271	-17.841	-19.415	-21.08	-22.767	-24.455	-26.085	-27.908	9
50	2025/8/2 0:24	12	25.5	94.2	997.1	-7.6	0	6.72	0	0	22.301	21.578	20.855	20.131	19.408	18.899	18.39	17.881	17.372	16.489	15.607	14.724	13.842	13.142	12.442	11.742	11.042	10.402	9.763	9.124	8.485	7.805	7.125	6.733	6.34	5.813	5.286	4.247	3.208	3.053	2.899	2.931	2.962	2.456	1.95	1.37	0.79	0.72	0.649	0.534	0.418	0.492	0.565	0.685	0.806	0.991	1.177	1.18	1.184	1.138	1.091	0.879	0.215	0.287	2.235	2.36	2.666	1.991	1.375	1.536	1.894	2.067	0.363	1.2	1.009	0.58	0.137	0.195	0.71	0.505	0.493	0.644	0.45	0.114	0.548	0.136	0.011	0.013	0.01	0.334	0.005	0.256	0.16	9
51	2025/8/2 0:24	13	25.5	94.2	997.1	-7.6	0	6.72	0	0	94.2	91.783	89.365	86.948	84.531	83.635	82.739	81.844	80.948	77.788	74.627	71.467	68.306	63.888	59.469	55.051	50.632	48.098	45.564	43.03	40.496	40.724	40.952	40.05	39.148	36.29	33.431	29.596	25.76	22.382	19.004	17.741	16.478	15.37	14.261	8.964	3.667	3.608	3.55	2.948	2.345	2.831	3.316	4.076	4.837	5.453	6.069	6.48	6.891	6.703	6.515	5.558	6.227	16.808	41.064	42.433	32.678	37.953	33.257	23.112	10.836	24.176	12.411	9.374	1.001	1.007	1.003	1.004	1.007	1.005	1.008	1.006	1.002	1.008	9.67	1.009	1.005	1.35	1.002	16.727	34.172	28.841	26.702	9
52	2025/8/2 0:24	14	25.5	94.2	997.1	-7.6	0	6.72	0	0	2.163	1.891	1.618	1.345	1.073	1.132	1.191	1.25	1.309	1.182	1.055	0.927	0.8	0.771	0.741	0.712	0.683	0.561	0.439	0.317	0.195	0.147	0.099	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.028	0	0.035	0	0.02	0.075	0.068	0.058	0.025	0.017	0.017	0.017	0.014	0.013	0.013	0.02	0	0	0	0	0	0	0	0	0	9
53	2025/8/2 0:26	11	25.6	94.2	997.1	-7.6	0	6.73	0	0	25.6	25.535	25.47	25.404	25.339	25.311	25.282	25.254	25.225	25.197	25.169	25.142	25.114	25.085	25.057	25.028	25	24.948	24.897	24.845	24.793	24.631	24.469	24.272	24.075	23.772	23.469	23.199	22.93	22.637	22.344	22.038	21.732	21.476	21.22	20.932	20.645	20.391	20.136	19.834	19.531	19.259	18.987	18.745	18.502	18.265	18.028	17.78	17.531	17.291	17.052	15.733	14.428	13.12	11.829	10.684	9.213	7.919	6.617	5.253	3.823	2.506	1.329	0.106	-1.076	-2.168	-3.619	-4.948	-6.333	-7.723	-9.005	-10.291	-11.608	-13.058	-14.593	-16.223	-17.788	-19.363	-21.037	-22.726	-24.419	-26.057	-27.878	9
54	2025/8/2 0:26	12	25.6	94.2	997.1	-7.6	0	6.73	0	0	22.426	21.707	20.989	20.27	19.551	19.046	18.542	18.037	17.533	16.653	15.774	14.895	14.016	13.311	12.607	11.902	11.197	10.549	9.902	9.254	8.607	7.905	7.204	6.768	6.333	5.82	5.307	4.26	3.214	3.057	2.901	2.932	2.964	2.46	1.956	1.373	0.791	0.72	0.649	0.534	0.419	0.493	0.567	0.685	0.803	0.992	1.182	1.182	1.183	1.137	1.09	0.877	0.205	0.169	2.128	2.298	2.615	1.943	1.355	1.505	1.886	2.095	0.4	1.249	1.061	0.638	0.19	0.23	0.762	0.545	0.531	0.677	0.471	0.119	0.556	0.126	0.01	0.017	0.008	0.338	0.004	0.259	0.166	9
55	2025/8/2 0:26	13	25.6	94.2	997.1	-7.6	0	6.73	0	0	94.2	91.786	89.371	86.957	84.543	83.644	82.746	81.847	80.948	77.789	74.629	71.469	68.309	63.897	59.484	55.072	50.659	48.132	45.605	43.078	40.552	40.798	41.044	40.151	39.258	36.408	33.557	29.678	25.798	22.389	18.979	17.672	16.366	15.314	14.262	8.96	3.659	3.605	3.552	2.951	2.351	2.833	3.316	4.077	4.838	5.449	6.06	6.475	6.89	6.704	6.518	5.559	5.914	16.63	40.956	42.405	32.629	37.975	33.312	23.073	10.644	23.82	12.032	9.121	1.002	1.009	1.007	1.008	1.007	1.007	1.002	1.006	1.004	1.007	9.086	1.004	1.003	1.137	1.003	16.414	34.148	28.939	27.063	9
56	2025/8/2 0:26	14	25.6	94.2	997.1	-7.6	0	6.73	0	0	2.155	1.885	1.615	1.346	1.076	1.141	1.205	1.27	1.335	1.207	1.08	0.952	0.825	0.797	0.769	0.741	0.713	0.587	0.461	0.335	0.209	0.161	0.113	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.027	0	0.036	0	0.022	0.076	0.07	0.06	0.025	0.017	0.017	0.018	0.014	0.013	0.013	0.02	0	0	0	0	0	0	0	0	0	9
57	2025/8/2 0:28	11	25.7	94.1	996.9	-7.6	0	6.74	0	0	25.7	25.63	25.56	25.49	25.419	25.387	25.354	25.321	25.289	25.256	25.224	25.192	25.16	25.128	25.095	25.063	25.031	24.978	24.924	24.871	24.817	24.656	24.496	24.3	24.104	23.806	23.507	23.24	22.973	22.682	22.391	22.086	21.782	21.527	21.272	20.985	20.699	20.445	20.191	19.89	19.589	19.321	19.052	18.81	18.569	18.332	18.095	17.848	17.6	17.363	17.126	15.815	14.519	13.216	11.93	10.78	9.315	8.016	6.721	5.359	3.931	2.613	1.429	0.199	-0.986	-2.093	-3.537	-4.872	-6.255	-7.64	-8.916	-10.205	-11.524	-12.969	-14.502	-16.131	-17.696	-19.273	-20.952	-22.644	-24.345	-25.989	-27.815	9
58	2025/8/2 0:28	12	25.7	94.1	996.9	-7.6	0	6.74	0	0	22.528	21.799	21.07	20.341	19.612	19.098	18.584	18.071	17.557	16.665	15.774	14.882	13.991	13.275	12.559	11.842	11.126	10.47	9.814	9.158	8.502	7.789	7.075	6.706	6.337	5.8	5.262	4.181	3.099	3.001	2.902	2.935	2.967	2.458	1.949	1.369	0.789	0.723	0.657	0.536	0.415	0.489	0.562	0.682	0.801	0.993	1.184	1.184	1.184	1.139	1.093	0.876	0.207	0.169	2.17	2.346	2.667	1.979	1.385	1.518	1.924	2.145	0.415	1.273	1.074	0.641	0.196	0.217	0.76	0.538	0.523	0.67	0.457	0.099	0.545	0.113	0.015	0.014	0.011	0.334	0.004	0.257	0.165	9
59	2025/8/2 0:28	13	25.7	94.1	996.9	-7.6	0	6.74	0	0	94.1	91.67	89.239	86.809	84.378	83.466	82.554	81.642	80.73	77.55	74.369	71.189	68.008	63.58	59.151	54.723	50.294	47.764	45.235	42.705	40.176	40.434	40.692	39.823	38.953	36.107	33.26	29.339	25.417	22	18.583	17.281	15.979	15.117	14.255	8.96	3.666	3.607	3.548	2.947	2.345	2.826	3.308	4.076	4.844	5.456	6.068	6.481	6.895	6.704	6.514	5.562	5.591	16.588	41.458	43.144	33.468	38.875	34.147	23.751	11.067	24.504	12.417	9.424	1.002	1.001	1.005	1.007	1.004	1.009	1.007	1.001	1	1.003	8.103	1.007	1.002	1.006	1.008	15.502	33.356	28.223	26.354	9
60	2025/8/2 0:28	14	25.7	94.1	996.9	-7.6	0	6.74	0	0	2.177	1.9	1.623	1.345	1.068	1.14	1.212	1.283	1.355	1.229	1.102	0.976	0.85	0.824	0.798	0.771	0.745	0.612	0.479	0.346	0.213	0.169	0.125	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0.038	0	0.024	0.079	0.071	0.061	0.025	0.017	0.017	0.018	0.014	0.013	0.013	0.02	0	0	0	0	0	0	0	0	0	9
61	2025/8/2 0:30	11	25.8	94.1	996.8	-7.6	0	6.75	0	0	25.8	25.73	25.66	25.591	25.521	25.485	25.45	25.414	25.379	25.347	25.315	25.283	25.251	25.218	25.184	25.151	25.118	25.064	25.01	24.956	24.903	24.74	24.578	24.379	24.181	23.882	23.584	23.315	23.045	22.753	22.46	22.153	21.847	21.59	21.332	21.047	20.762	20.504	20.247	19.947	19.647	19.378	19.109	18.864	18.619	18.384	18.149	17.901	17.654	17.414	17.175	15.87	14.574	13.272	11.993	10.835	9.378	8.083	6.795	5.439	4.016	2.695	1.507	0.278	-0.915	-2.024	-3.469	-4.806	-6.189	-7.576	-8.845	-10.138	-11.457	-12.901	-14.431	-16.053	-17.621	-19.204	-20.883	-22.573	-24.276	-25.921	-27.75	9
62	2025/8/2 0:30	12	25.8	94.1	996.8	-7.6	0	6.75	0	0	22.654	21.912	21.17	20.427	19.685	19.16	18.635	18.11	17.585	16.677	15.77	14.862	13.954	13.227	12.499	11.771	11.044	10.379	9.714	9.049	8.385	7.661	6.937	6.639	6.34	5.802	5.265	4.11	2.956	2.926	2.896	2.931	2.965	2.458	1.952	1.371	0.79	0.719	0.648	0.532	0.416	0.492	0.568	0.688	0.808	0.995	1.181	1.185	1.188	1.141	1.093	0.874	0.209	0.166	2.228	2.408	2.729	2.017	1.42	1.54	1.964	2.198	0.421	1.297	1.087	0.641	0.196	0.192	0.759	0.535	0.52	0.673	0.45	0.073	0.542	0.095	0.016	0.01	0.012	0.335	0.012	0.258	0.165	9
63	2025/8/2 0:30	13	25.8	94.1	996.8	-7.6	0	6.75	0	0	94.1	91.657	89.213	86.77	84.326	83.403	82.481	81.558	80.635	77.441	74.247	71.053	67.859	63.425	58.99	54.556	50.121	47.594	45.068	42.541	40.015	40.294	40.573	39.724	38.876	36.035	33.195	29.217	25.239	21.793	18.348	17.019	15.691	14.974	14.258	8.959	3.661	3.604	3.547	2.948	2.349	2.832	3.315	4.077	4.838	5.452	6.066	6.482	6.898	6.705	6.511	5.557	5.271	16.499	41.727	43.588	33.959	39.446	34.69	24.128	11.192	24.64	12.362	9.41	1	1.009	1.004	1.005	1.001	1.008	1.004	1.005	1.004	1.003	7.26	1.002	1.008	1.007	1.007	14.872	32.957	27.934	26.23	9
64	2025/8/2 0:30	14	25.8	94.1	996.8	-7.6	0	6.75	0	0	2.161	1.888	1.615	1.342	1.069	1.145	1.222	1.298	1.374	1.248	1.122	0.996	0.869	0.845	0.82	0.795	0.771	0.634	0.498	0.362	0.226	0.181	0.137	0.07	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0.039	0	0.025	0.08	0.073	0.062	0.026	0.017	0.018	0.018	0.014	0.014	0.013	0.02	0	0	0	0	0	0	0	0	0	9
