样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,预测磁芯损耗_w每m3,附件四填写值_保留1位小数,超出训练集关键特征范围数,预测范围标记
318,70,50020.0,材料4,正弦波,0.04449848,4775.301758895092,4775.3,0,范围内
319,70,79460.0,材料4,正弦波,0.055379402,12261.37370351585,12261.4,0,范围内
320,70,125860.0,材料4,正弦波,0.0553608135,25200.646652625048,25200.6,0,范围内
321,70,177820.0,材料4,正弦波,0.0860717155,150401.74699678906,150401.7,0,范围内
322,70,199500.0,材料4,正弦波,0.05518138,54921.77155186997,54921.8,0,范围内
323,70,281860.0,材料4,正弦波,0.0310249015,25832.90198020734,25832.9,0,范围内
324,70,316230.0,材料4,正弦波,0.0156092024999999,6463.02258403592,6463.0,0,范围内
325,70,316230.0,材料4,正弦波,0.027408711,26049.879017107916,26049.9,0,范围内
326,70,354820.0,材料4,正弦波,0.0311241455,47147.296327449825,47147.3,0,范围内
327,90,63020.0,材料4,正弦波,0.077868676,17550.897378195805,17550.9,0,范围内
328,90,70840.0,材料4,正弦波,0.01731088,564.62668768082,564.6,0,范围内
329,90,79460.0,材料4,正弦波,0.027775888,1514.933900342717,1514.9,0,范围内
330,90,79460.0,材料4,正弦波,0.049122641,6699.671471227133,6699.7,0,范围内
331,90,112160.0,材料4,正弦波,0.039025129,6279.580141296747,6279.6,0,范围内
332,90,251170.0,材料4,正弦波,0.0248574479999999,11208.220652315758,11208.2,0,范围内
333,90,251170.0,材料4,正弦波,0.0277649065,15073.547851115774,15073.5,0,范围内
334,90,281850.0,材料4,正弦波,0.0196758569999999,8914.514729081791,8914.5,0,范围内
335,90,316230.0,材料4,正弦波,0.048754752,104450.94938981615,104450.9,0,范围内
336,50,281860.0,材料4,正弦波,0.01257,3036.9372343963178,3036.9,0,范围内
337,25,112170.0,材料4,正弦波,0.0395849999999999,19525.48859089089,19525.5,0,范围内
338,25,70780.0,材料4,三角波,0.038930323,12605.475603053328,12605.5,0,范围内
339,25,112170.0,材料4,三角波,0.086502916,186069.99073923606,186070.0,0,范围内
340,25,125900.0,材料4,三角波,0.0385522995,30867.24307065808,30867.2,0,范围内
341,25,141290.0,材料4,三角波,0.059739074,109358.72611760008,109358.7,0,范围内
342,25,199170.0,材料4,三角波,0.0304833009999999,40819.41694744876,40819.4,0,范围内
343,25,56180.0,材料4,三角波,0.1933846645,349752.57335180475,349752.6,0,范围内
344,50,70780.0,材料4,三角波,0.043672281,11660.327531672488,11660.3,0,范围内
345,50,354590.0,材料4,三角波,0.019036812,53803.66826967251,53803.7,0,范围内
346,50,79430.0,材料4,三角波,0.027287697,3263.6982279253807,3263.7,0,范围内
347,50,79440.0,材料4,三角波,0.0544712849999999,18403.233544197865,18403.2,0,范围内
348,50,89200.0,材料4,三角波,0.242066141,898107.9487297554,898107.9,0,范围内
349,70,56180.0,材料4,三角波,0.068969514,19702.859692134767,19702.9,0,范围内
350,70,251230.0,材料4,三角波,0.0340774255,84166.5636193022,84166.6,0,范围内
351,70,282480.0,材料4,三角波,0.034419667,106230.49106260025,106230.5,0,范围内
352,70,354590.0,材料4,三角波,0.0267531075,111264.20381320866,111264.2,0,范围内
353,70,396800.0,材料4,三角波,0.0349848055,256889.70029799876,256889.7,0,范围内
354,70,89200.0,材料4,三角波,0.0343959775,5029.419941508004,5029.4,0,范围内
355,90,141270.0,材料4,三角波,0.012137332,2447.444793651636,2447.4,0,范围内
356,90,158750.0,材料4,三角波,0.0247973755,14069.29652957938,14069.3,0,范围内
357,90,282480.0,材料4,三角波,0.01957357,34758.76977641744,34758.8,0,范围内
358,90,89200.0,材料4,三角波,0.0864721595,45913.41912088598,45913.4,0,范围内
359,25,70870.0,材料4,三角波,0.0617539655,31846.688186480464,31846.7,0,范围内
360,25,70870.0,材料4,三角波,0.0679825215,38757.652637921026,38757.7,0,范围内
361,25,89100.0,材料4,三角波,0.04264189,15613.835385582208,15613.8,0,范围内
362,25,89100.0,材料4,三角波,0.0861770645,84309.51081868475,84309.5,0,范围内
363,25,112090.0,材料4,三角波,0.0339745635,11344.81096083058,11344.8,0,范围内
364,25,125890.0,材料4,三角波,0.0272957544999999,7059.790982325307,7059.8,0,范围内
365,25,199170.0,材料4,三角波,0.038726755,29943.45159707048,29943.5,0,范围内
366,25,50070.0,材料4,梯形波,0.034280776,5416.690124066812,5416.7,0,范围内
367,25,50070.0,材料4,梯形波,0.0966019774999999,57581.9500254087,57582.0,0,范围内
368,25,56160.0,材料4,梯形波,0.241862368,587822.8738070108,587822.9,0,范围内
369,25,89210.0,材料4,梯形波,0.0216186415,2823.0735331517103,2823.1,0,范围内
370,25,89210.0,材料4,梯形波,0.060529321,39192.21029264446,39192.2,0,范围内
371,50,89100.0,材料4,三角波,0.0427439,9577.987052060633,9578.0,0,范围内
372,50,177930.0,材料4,三角波,0.017397199,2949.960475507572,2950.0,0,范围内
373,50,354610.0,材料4,三角波,0.0964039975,697821.9665648619,697822.0,0,范围内
374,50,199170.0,材料4,三角波,0.022048492,5428.46864108686,5428.5,0,范围内
375,50,354610.0,材料4,三角波,0.0387627395,77041.369202105,77041.4,0,范围内
376,50,354610.0,材料4,三角波,0.0544220425,175466.39990896944,175466.4,0,范围内
377,50,50070.0,材料4,梯形波,0.1221634445,72566.83701823105,72566.8,0,范围内
378,50,56160.0,材料4,梯形波,0.2154648725,359740.276407654,359740.3,0,范围内
379,50,89210.0,材料4,梯形波,0.0192220765,1277.3132022382067,1277.3,0,范围内
380,50,99980.0,材料4,梯形波,0.09661846,106837.24987516641,106837.2,0,范围内
381,50,112170.0,材料4,梯形波,0.024085658,3307.5127125209287,3307.5,0,范围内
382,50,125920.0,材料4,梯形波,0.0341073095,9596.558352956701,9596.6,0,范围内
383,70,199170.0,材料4,三角波,0.0276956005,8258.009479770246,8258.0,0,范围内
384,70,354610.0,材料4,三角波,0.09643492,645890.9015055997,645890.9,0,范围内
385,70,354610.0,材料4,三角波,0.0544301875,153525.0427642363,153525.0,0,范围内
386,70,396820.0,材料4,三角波,0.0546635015,198301.42346058597,198301.4,0,范围内
387,70,56160.0,材料4,梯形波,0.0432257525,4369.4012266624495,4369.4,0,范围内
388,70,56160.0,材料4,梯形波,0.1922829314999999,224908.30075972248,224908.3,0,范围内
389,70,125930.0,材料4,梯形波,0.1196525675,203898.03196466417,203898.0,0,范围内
390,70,177900.0,材料4,梯形波,0.0215914899999999,5410.220957286544,5410.2,0,范围内
391,70,177900.0,材料4,梯形波,0.0386092564999999,20450.495856555863,20450.5,0,范围内
392,90,354610.0,材料4,三角波,0.048624805,124510.25862786095,124510.3,0,范围内
393,90,354610.0,材料4,三角波,0.061315229,204892.66065146835,204892.7,0,范围内
394,90,354610.0,材料4,梯形波,0.122351722,1196387.4365031384,1196387.4,0,范围内
395,90,396820.0,材料4,三角波,0.030859275,60138.98524286641,60139.0,0,范围内
396,90,141270.0,材料4,梯形波,0.0342464245,9422.58376274295,9422.6,0,范围内
397,90,141270.0,材料4,梯形波,0.0534735075,29444.868852757445,29444.9,0,范围内
398,90,158750.0,材料4,梯形波,0.1363861985,405508.0046648135,405508.0,0,范围内
399,90,177900.0,材料4,梯形波,0.1359111949999999,473860.1993634129,473860.2,0,范围内
400,90,199190.0,材料4,梯形波,0.0108470199999999,1563.5834655375184,1563.6,0,范围内
