维度,类别,年份,事件数,累计危害,平均危害,一级事件数,有效坐标数,已知死亡记录数,已记录死亡人数,已知受伤记录数,已记录受伤人数,一级占比,坐标覆盖率,死亡信息覆盖率,年度事件占比
归属记录,Al Bayda Province of the Islamic State,2016,1,0.2209870489303511,0.2209870489303511,0,1,1,1.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Al Bayda Province of the Islamic State,2017,1,0.8236119207870696,0.8236119207870696,1,1,1,4.0,1,8.0,1.0,1.0,1.0,9.174311926605505e-05
归属记录,Al-Aqsa Martyrs Brigade,2015,7,2.184696865112139,0.312099552158877,0,7,7,7.0,7,16.0,0.0,1.0,1.0,0.0004677581022385566
归属记录,Al-Aqsa Martyrs Brigade,2016,3,0.9875676082120683,0.32918920273735613,0,3,3,3.0,3,9.0,0.0,1.0,1.0,0.00022079929344226098
归属记录,Al-Ashtar Brigades,2015,2,0.7058571855418786,0.3529285927709393,0,2,2,0.0,2,4.0,0.0,1.0,1.0,0.00013364517206815904
归属记录,Al-Ashtar Brigades,2017,2,0.5488360368896246,0.2744180184448123,0,2,2,1.0,2,1.0,0.0,1.0,1.0,0.0001834862385321101
归属记录,Al-Fateh Al-Jadid,2016,1,0.3043081934084552,0.3043081934084552,0,1,1,0.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Al-Furqan (Tunisia),2015,1,0.6680169845451281,0.6680169845451281,0,1,1,0.0,1,1.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Al-Furqan Brigades,2015,1,0.5073270564991917,0.5073270564991917,0,1,1,7.0,0,,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Al-Haydariyah Battalion,2015,1,0.2614737692520518,0.2614737692520518,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Al-Islah Party,2017,1,0.7610059488121266,0.7610059488121266,1,1,1,1.0,1,1.0,1.0,1.0,1.0,9.174311926605505e-05
归属记录,Al-Khobar,2015,1,0.7401515443385374,0.7401515443385374,1,1,1,0.0,1,18.0,1.0,1.0,1.0,6.682258603407952e-05
归属记录,Al-Khobar,2016,1,0.7235281796694649,0.7235281796694649,1,1,1,0.0,1,0.0,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),2015,8,4.477254430326332,0.5596568037907915,4,8,7,46.0,8,38.0,0.5,1.0,0.875,0.0005345806882726361
归属记录,Al-Naqshabandiya Army,2015,11,6.318316190780826,0.5743923809800751,4,11,11,15.0,10,70.0,0.36363636363636365,1.0,1.0,0.0007350484463748748
归属记录,Al-Nasir Army (Syria),2016,3,0.7973955404312627,0.26579851347708755,0,3,3,0.0,3,0.0,0.0,1.0,1.0,0.00022079929344226098
归属记录,Al-Nusrah Front,2015,73,38.53187409034892,0.5278338916486154,23,71,57,924.0,27,267.0,0.3150684931506849,0.9726027397260274,0.7808219178082192,0.004878048780487805
归属记录,Al-Nusrah Front,2016,60,33.291721855553384,0.5548620309258897,30,59,52,264.0,49,355.0,0.5,0.9833333333333333,0.8666666666666667,0.00441598586884522
归属记录,Al-Nusrah Front,2017,5,2.453569560477936,0.4907139120955872,2,5,5,24.0,5,32.0,0.4,1.0,1.0,0.00045871559633027525
归属记录,Al-Qaida in the Arabian Peninsula (AQAP),2015,131,60.25327402682061,0.4599486566932871,32,131,123,361.0,114,313.0,0.24427480916030533,1.0,0.9389312977099237,0.008753758770464417
归属记录,Al-Qaida in the Arabian Peninsula (AQAP),2016,82,40.88685391346633,0.4986201696764187,31,82,74,193.0,72,208.0,0.3780487804878049,1.0,0.9024390243902439,0.0060351806874218
归属记录,Al-Qaida in the Arabian Peninsula (AQAP),2017,44,24.116865758489585,0.5481105854202178,16,44,43,171.0,41,129.0,0.36363636363636365,1.0,0.9772727272727273,0.004036697247706422
归属记录,Al-Qaida in the Indian Subcontinent,2015,5,1.3093953022864637,0.26187906045729276,0,5,5,3.0,5,3.0,0.0,1.0,1.0,0.0003341129301703976
归属记录,Al-Qaida in the Indian Subcontinent,2016,7,3.907074248043564,0.5581534640062235,4,7,7,4.0,7,3.0,0.5714285714285714,1.0,1.0,0.0005151983513652757
归属记录,Al-Qaida in the Indian Subcontinent,2017,3,1.037879024490822,0.345959674830274,0,3,3,2.0,3,4.0,0.0,1.0,1.0,0.00027522935779816516
归属记录,Al-Qaida in the Islamic Maghreb (AQIM),2015,16,8.64785292500654,0.5404908078129087,6,15,16,49.0,15,39.0,0.375,0.9375,1.0,0.0010691613765452723
归属记录,Al-Qaida in the Islamic Maghreb (AQIM),2016,23,9.766454525180583,0.4246284576165471,5,23,20,76.0,19,88.0,0.21739130434782608,1.0,0.8695652173913043,0.0016927945830573343
归属记录,Al-Qaida in the Islamic Maghreb (AQIM),2017,1,0.8403129817971694,0.8403129817971694,1,1,1,82.0,1,115.0,1.0,1.0,1.0,9.174311926605505e-05
归属记录,Al-Saadawi Militia,2015,1,0.2021579030134302,0.2021579030134302,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Al-Shabaab,2015,397,175.43763681686173,0.44190840508025625,96,395,330,1646.0,294,925.0,0.24181360201511334,0.9949622166246851,0.8312342569269522,0.026528566655529568
归属记录,Al-Shabaab,2016,564,269.677921438534,0.4781523429761241,178,563,470,1564.0,436,1294.0,0.31560283687943264,0.99822695035461,0.8333333333333334,0.041510267167145065
归属记录,Al-Shabaab,2017,570,284.6641568879675,0.49941080155783774,190,570,473,1883.0,426,1241.0,0.3333333333333333,1.0,0.8298245614035088,0.05229357798165138
归属记录,Al-Sham Legion,2015,3,0.9323513264948602,0.31078377549828673,0,3,2,1.0,0,,0.0,1.0,0.6666666666666666,0.00020046775810223855
归属记录,Al-Sham Legion,2016,3,0.7560456795222472,0.25201522650741576,0,3,2,0.0,2,0.0,0.0,1.0,0.6666666666666666,0.00022079929344226098
归属记录,Al-Umar Mujahideen,2016,1,0.4932574245475003,0.4932574245475003,0,1,1,1.0,1,8.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Al-Yakin Mujahidin,2016,3,1.5017654724346712,0.5005884908115571,0,3,3,16.0,2,4.0,0.0,1.0,1.0,0.00022079929344226098
归属记录,Al-Yakin Mujahidin,2017,2,0.6427812664682107,0.3213906332341053,0,2,2,3.0,2,2.0,0.0,1.0,1.0,0.0001834862385321101
归属记录,Al-Zawiya Syndicates Council,2017,1,0.203012165533823,0.203012165533823,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Albanian extremists,2017,1,0.1876609545311808,0.1876609545311808,0,1,1,0.0,1,1.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Alde Hemendik Movement,2016,1,0.3200948460476799,0.3200948460476799,0,1,1,0.0,1,4.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Aleppo Fatah Operations Room,2015,2,1.6319741724388757,0.8159870862194378,2,2,2,7.0,2,200.0,1.0,1.0,1.0,0.00013364517206815904
归属记录,Aleppo Fatah Operations Room,2016,6,3.822886640805222,0.6371477734675369,0,6,6,8.0,6,80.0,0.0,1.0,1.0,0.00044159858688452196
归属记录,Alex Boncayao Brigade (ABB),2017,1,0.2654269356427483,0.2654269356427483,0,1,1,1.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Algeria Province of the Islamic State,2015,3,1.48677648597779,0.4955921619925967,1,3,3,2.0,3,6.0,0.3333333333333333,1.0,1.0,0.00020046775810223855
归属记录,Algeria Province of the Islamic State,2016,2,0.54927789229138,0.27463894614569,0,2,2,1.0,2,0.0,0.0,1.0,1.0,0.0001471995289615073
归属记录,Algeria Province of the Islamic State,2017,5,1.7345406970645887,0.34690813941291776,0,5,5,5.0,5,8.0,0.0,1.0,1.0,0.00045871559633027525
归属记录,All Assam Revolutionary Army (AARA),2016,1,0.1725516794787059,0.1725516794787059,0,1,1,0.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,All Nepal National Free Student Union-Revolutionary,2015,1,0.6749846117958698,0.6749846117958698,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,All Nepal National Free Student Union-Revolutionary,2017,2,0.9248470542622955,0.46242352713114776,0,2,2,0.0,2,0.0,0.0,1.0,1.0,0.0001834862385321101
归属记录,All Tripura Tiger Force (ATTF),2017,1,0.2633542136663893,0.2633542136663893,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Alliance of Patriots for a Free and Sovereign Congo (APCLS),2015,5,2.6920909445973678,0.5384181889194736,3,5,2,1.0,2,0.0,0.6,1.0,0.4,0.0003341129301703976
归属记录,Alliance of Patriots for a Free and Sovereign Congo (APCLS),2017,1,0.1850433908075611,0.1850433908075611,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Allied Democratic Forces (ADF),2015,54,29.50473789240078,0.5463840350444589,17,54,51,230.0,48,66.0,0.3148148148148148,1.0,0.9444444444444444,0.003608419645840294
归属记录,Allied Democratic Forces (ADF),2016,58,26.8620580465587,0.463138931837219,10,58,53,248.0,44,32.0,0.1724137931034483,1.0,0.9137931034482759,0.004268786339883712
归属记录,Allied Democratic Forces (ADF),2017,22,10.212112189735016,0.464186917715228,3,22,17,94.0,14,71.0,0.13636363636363635,1.0,0.7727272727272727,0.002018348623853211
归属记录,Ambazonia Defense Forces (ADF),2017,13,5.367401170923936,0.41287701314799513,3,13,12,13.0,11,2.0,0.23076923076923078,1.0,0.9230769230769231,0.0011926605504587156
归属记录,Anarchist Cell Acca (C.A.A.),2015,1,0.7181668413008214,0.7181668413008214,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Anarchist Collective of Kallithea-Moschato,2017,1,0.6420752070468606,0.6420752070468606,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Anarchist Commando Nestor Makhno Group,2015,1,0.663974440981415,0.663974440981415,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Anarchist Revolt Against Exiled Gendarmes,2017,1,0.66104478721048,0.66104478721048,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Anarchists,2015,7,2.189178865031975,0.3127398378617107,0,7,7,1.0,7,2.0,0.0,1.0,1.0,0.0004677581022385566
归属记录,Anarchists,2016,23,11.045951417076369,0.48025875726418993,3,23,23,0.0,23,1.0,0.13043478260869565,1.0,1.0,0.0016927945830573343
归属记录,Anarchists,2017,11,6.4253528370307365,0.5841229851846124,1,11,11,0.0,11,1.0,0.09090909090909091,1.0,1.0,0.0010091743119266055
归属记录,Anas al-Dabbashi Brigade,2017,3,1.1336268817361754,0.3778756272453918,0,3,3,3.0,3,7.0,0.0,1.0,1.0,0.00027522935779816516
归属记录,Animal Liberation Front (ALF),2015,4,2.6668834819909644,0.6667208704977411,0,4,4,0.0,4,0.0,0.0,1.0,1.0,0.00026729034413631807
归属记录,Animal Liberation Front (ALF),2016,1,0.7334925251953606,0.7334925251953606,1,1,1,0.0,1,0.0,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Animal Rights extremists,2017,1,0.663974440981415,0.663974440981415,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Ansar Al-Khilafa (Philippines),2015,2,0.8928267232508517,0.44641336162542583,0,2,2,8.0,2,0.0,0.0,1.0,1.0,0.00013364517206815904
归属记录,Ansar Al-Khilafa (Philippines),2016,1,0.5086657699340629,0.5086657699340629,0,1,1,1.0,1,7.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Ansar Ghazwat-ul-Hind,2017,1,0.6957695970236559,0.6957695970236559,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Ansar al-Din Front,2015,2,1.2677907181276589,0.6338953590638294,1,2,2,206.0,0,,0.5,1.0,1.0,0.00013364517206815904
归属记录,Ansar al-Dine (Mali),2015,10,5.7086151147643385,0.5708615114764338,4,10,10,26.0,9,26.0,0.4,1.0,1.0,0.0006682258603407952
归属记录,Ansar al-Dine (Mali),2016,34,23.068348171723567,0.6784808285801049,25,34,31,76.0,29,115.0,0.7352941176470589,1.0,0.9117647058823529,0.0025023919923456246
归属记录,Ansar al-Dine (Mali),2017,1,0.3451055964986207,0.3451055964986207,0,1,1,2.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Ansar al-Furqan,2016,1,0.2957032952959196,0.2957032952959196,0,1,1,6.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Ansar al-Imam Musa al-Sadr,2015,1,0.1231348696714163,0.1231348696714163,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Ansar al-Islam (Burkina Faso),2016,1,0.8047314265347074,0.8047314265347074,1,1,1,17.0,0,,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Ansar al-Islam (Burkina Faso),2017,10,4.491967593846621,0.4491967593846621,3,10,10,12.0,10,4.0,0.3,1.0,1.0,0.0009174311926605505
归属记录,Ansar al-Islam (Egypt),2017,1,0.7904479416697595,0.7904479416697595,1,1,1,16.0,1,13.0,1.0,1.0,1.0,9.174311926605505e-05
归属记录,Ansar al-Sharia (Libya),2015,23,11.60763074609867,0.5046795976564639,8,23,19,16.0,19,28.0,0.34782608695652173,1.0,0.8260869565217391,0.0015369194787838289
归属记录,Ansar al-Sharia (Libya),2016,2,0.967235333654761,0.4836176668273805,0,2,2,3.0,1,9.0,0.0,1.0,1.0,0.0001471995289615073
归属记录,Ansar al-Sharia (Libya),2017,1,0.3771457977044625,0.3771457977044625,0,1,1,2.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Ansar al-Sharia (Pakistan),2017,6,2.7517228865346026,0.4586204810891004,0,6,6,15.0,6,8.0,0.0,1.0,1.0,0.0005504587155963303
归属记录,Ansar al-Sharia Operations Room (Syria),2015,7,4.051902945777771,0.578843277968253,0,7,7,4.0,7,70.0,0.0,1.0,1.0,0.0004677581022385566
归属记录,Ansar al-Sunna (Mozambique),2017,6,3.1825941218365226,0.5304323536394204,3,6,6,18.0,6,5.0,0.5,1.0,1.0,0.0005504587155963303
归属记录,Ansarullah Bangla Team,2015,4,1.42869207155334,0.357173017888335,1,4,4,11.0,4,27.0,0.25,1.0,1.0,0.00026729034413631807
归属记录,Ansarullah Bangla Team,2017,1,0.275365325253588,0.275365325253588,0,1,1,0.0,1,3.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Antagonistic Nuclei of the New Urban Guerrilla,2016,1,0.2038944952007581,0.2038944952007581,0,1,1,0.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Anti-Abortion extremists,2015,1,0.5465776613059998,0.5465776613059998,0,1,1,3.0,1,9.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Anti-Arab extremists,2017,1,0.6750789710340862,0.6750789710340862,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Anti-Balaka Militia,2015,20,7.053134388085129,0.35265671940425647,2,19,20,58.0,19,12.0,0.1,0.95,1.0,0.0013364517206815904
归属记录,Anti-Balaka Militia,2016,3,1.405039992861996,0.468346664287332,1,3,3,3.0,3,1.0,0.3333333333333333,1.0,1.0,0.00022079929344226098
归属记录,Anti-Balaka Militia,2017,15,6.966888238233432,0.4644592158822288,4,15,15,287.0,14,122.0,0.26666666666666666,1.0,1.0,0.0013761467889908258
归属记录,Anti-Government extremists,2015,1,0.5787874307802177,0.5787874307802177,0,1,1,3.0,1,9.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Anti-Government extremists,2017,4,1.3841811933301675,0.3460452983325419,1,4,4,61.0,4,853.0,0.25,1.0,1.0,0.0003669724770642202
归属记录,Anti-Immigrant extremists,2015,5,2.154994083461469,0.43099881669229384,0,5,5,4.0,4,6.0,0.0,1.0,1.0,0.0003341129301703976
归属记录,Anti-Immigrant extremists,2016,1,0.2752641523225636,0.2752641523225636,0,1,1,0.0,1,1.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Anti-Immigrant extremists,2017,2,1.4519822352423541,0.7259911176211771,2,2,2,0.0,2,0.0,1.0,1.0,1.0,0.0001834862385321101
归属记录,Anti-LGBT extremists,2017,4,2.2824840305726743,0.5706210076431686,0,4,4,0.0,4,2.0,0.0,1.0,1.0,0.0003669724770642202
归属记录,Anti-Muslim extremists,2015,8,4.237483050987261,0.5296853813734076,0,8,8,3.0,8,2.0,0.0,1.0,1.0,0.0005345806882726361
归属记录,Anti-Muslim extremists,2016,7,3.8187723445291,0.5455389063613,0,7,7,0.0,7,2.0,0.0,1.0,1.0,0.0005151983513652757
归属记录,Anti-Muslim extremists,2017,50,33.3732455031049,0.667464910062098,22,50,50,3.0,34,19.0,0.44,1.0,1.0,0.0045871559633027525
归属记录,Anti-Nuclear extremists,2015,7,4.964430610500731,0.7092043729286759,0,7,7,0.0,7,0.0,0.0,1.0,1.0,0.0004677581022385566
归属记录,Anti-Park extremists,2016,1,0.7050171384740944,0.7050171384740944,0,1,1,0.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Anti-Police extremists,2016,4,2.5840866413286627,0.6460216603321657,0,4,4,7.0,4,12.0,0.0,1.0,1.0,0.0002943990579230146
归属记录,Anti-Police extremists,2017,1,0.3832494599572958,0.3832494599572958,0,1,1,2.0,1,1.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Anti-Republican extremists,2017,1,0.3383853882397013,0.3383853882397013,0,1,1,1.0,1,6.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Anti-Semitic extremists,2015,2,0.5648527730171943,0.28242638650859714,0,2,2,0.0,2,5.0,0.0,1.0,1.0,0.00013364517206815904
归属记录,Anti-Semitic extremists,2016,5,1.5511887502131674,0.3102377500426335,0,5,5,1.0,5,4.0,0.0,1.0,1.0,0.0003679988224037683
归属记录,Anti-Semitic extremists,2017,7,3.5930297286043786,0.5132899612291969,0,7,7,0.0,7,0.0,0.0,1.0,1.0,0.0006422018348623853
归属记录,Anti-Sikh extremists,2015,1,0.2082893370124856,0.2082893370124856,0,1,1,0.0,1,1.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Anti-Trump extremists,2016,1,0.1519277856109781,0.1519277856109781,0,1,1,0.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Anti-White extremists,2016,3,2.084546270301563,0.6948487567671876,0,3,3,6.0,3,9.0,0.0,1.0,1.0,0.00022079929344226098
归属记录,Anti-White extremists,2017,3,1.0850356061218047,0.3616785353739349,0,3,3,4.0,3,1.0,0.0,1.0,1.0,0.00027522935779816516
归属记录,Apella,2017,1,0.663974440981415,0.663974440981415,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Arab Movement of Azawad (MAA),2015,4,2.2394720951790603,0.5598680237947651,1,4,4,6.0,4,1.0,0.25,1.0,1.0,0.00026729034413631807
归属记录,Arab-Israeli extremists,2017,2,1.2296421687747072,0.6148210843873536,0,2,2,5.0,2,3.0,0.0,1.0,1.0,0.0001834862385321101
归属记录,Arakan Army (AA),2015,1,0.2430713084066688,0.2430713084066688,0,1,1,0.0,1,1.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Arakan Army (AA),2016,1,0.1575482446255042,0.1575482446255042,0,1,1,0.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Arakan Liberation Party (ALP),2015,2,0.6453423736223327,0.32267118681116636,0,2,1,1.0,1,2.0,0.0,1.0,0.5,0.00013364517206815904
归属记录,Arakan Rohingya Salvation Army (ARSA),2017,46,19.09679612322671,0.4151477418092763,10,46,46,145.0,17,2.0,0.21739130434782608,1.0,1.0,0.004220183486238532
归属记录,Arauco Malleco Coordinating Group (CAM) - Chile,2017,2,1.4785514186561532,0.7392757093280766,1,2,2,0.0,2,0.0,0.5,1.0,1.0,0.0001834862385321101
归属记录,Arm na Poblachta' (Army of the Republic),2017,1,0.1511991163623757,0.1511991163623757,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Army of the Tribes,2015,2,1.0986478248184044,0.5493239124092022,1,2,1,19.0,2,1.0,0.5,1.0,0.5,0.00013364517206815904
归属记录,Asa'ib Ahl al-Haqq,2016,53,38.95633458907287,0.7350251809259032,50,53,53,4.0,52,0.0,0.9433962264150944,1.0,1.0,0.003900787517479944
归属记录,Asa'ib Ahl al-Haqq,2017,2,0.7950301735622445,0.39751508678112224,0,2,2,20.0,1,2.0,0.0,1.0,1.0,0.0001834862385321101
归属记录,Authenticity and Development Front,2016,1,0.8353562211791388,0.8353562211791388,1,1,1,0.0,1,0.0,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Awami League,2015,7,3.8814827997160553,0.5544975428165794,1,7,7,0.0,7,0.0,0.14285714285714285,1.0,1.0,0.0004677581022385566
归属记录,Awami League,2016,5,3.6662775216909296,0.7332555043381859,5,5,5,0.0,5,0.0,1.0,1.0,1.0,0.0003679988224037683
归属记录,Awami League,2017,3,2.297758828414657,0.7659196094715522,3,3,3,1.0,0,,1.0,1.0,1.0,0.00027522935779816516
归属记录,Awdal Regional Administration Army (ARAA),2015,1,0.4575565170969493,0.4575565170969493,0,1,1,2.0,1,2.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Azawad National Liberation Movement (MNLA),2015,6,3.212064453871644,0.535344075645274,2,6,6,32.0,6,36.0,0.3333333333333333,1.0,1.0,0.0004009355162044771
归属记录,Bab Tajura Brigade,2017,1,0.2210135967941537,0.2210135967941537,0,1,0,,0,,0.0,1.0,0.0,9.174311926605505e-05
归属记录,Baba Ladla Gang,2015,2,0.6028649292543212,0.3014324646271606,0,2,2,0.0,2,7.0,0.0,1.0,1.0,0.00013364517206815904
归属记录,Babbar Khalsa International (BKI),2017,1,0.74605032187649,0.74605032187649,1,1,1,7.0,1,11.0,1.0,1.0,1.0,9.174311926605505e-05
归属记录,Bachama extremists,2017,4,3.0358193673419667,0.7589548418354917,4,4,4,30.0,0,,1.0,1.0,1.0,0.0003669724770642202
归属记录,Badr Brigades,2017,2,0.2869589954860078,0.1434794977430039,0,2,0,,0,,0.0,1.0,0.0,0.0001834862385321101
归属记录,Bahoz,2016,1,0.6626136572975776,0.6626136572975776,0,1,1,0.0,1,1.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Bahrain Province of the Islamic State,2015,1,0.74675096299094,0.74675096299094,1,1,1,6.0,1,9.0,1.0,1.0,1.0,6.682258603407952e-05
归属记录,Bahrain Province of the Islamic State,2016,1,0.7597312874297247,0.7597312874297247,1,1,1,0.0,1,1.0,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Baloch Liberation Army (BLA),2015,26,15.836116735265266,0.6090814128948179,13,26,26,54.0,25,52.0,0.5,1.0,1.0,0.0017373872368860676
归属记录,Baloch Liberation Army (BLA),2016,24,11.73797586478419,0.48908232769934123,9,24,23,33.0,23,41.0,0.375,1.0,0.9583333333333334,0.0017663943475380878
归属记录,Baloch Liberation Army (BLA),2017,12,6.96213189326372,0.5801776577719767,4,12,12,32.0,12,19.0,0.3333333333333333,1.0,1.0,0.0011009174311926607
归属记录,Baloch Liberation Front (BLF),2015,51,21.41488964004779,0.4198997968636822,12,51,47,75.0,46,50.0,0.23529411764705882,1.0,0.9215686274509803,0.0034079518877380556
归属记录,Baloch Liberation Front (BLF),2016,34,13.5012323299805,0.39709506852883825,5,34,34,27.0,34,32.0,0.14705882352941177,1.0,1.0,0.0025023919923456246
归属记录,Baloch Liberation Front (BLF),2017,24,13.863684451246806,0.5776535188019503,11,24,24,27.0,24,47.0,0.4583333333333333,1.0,1.0,0.0022018348623853213
归属记录,Baloch Liberation Tigers (BLT),2015,2,1.4148528886912213,0.7074264443456106,0,2,2,8.0,2,0.0,0.0,1.0,1.0,0.00013364517206815904
归属记录,Baloch National Liberation Front,2015,1,0.2435131978523192,0.2435131978523192,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Baloch Nationalists,2015,6,4.3101337361811884,0.7183556226968647,3,6,6,11.0,6,7.0,0.5,1.0,1.0,0.0004009355162044771
归属记录,Baloch Nationalists,2016,1,0.7460612069638204,0.7460612069638204,1,1,1,1.0,1,1.0,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Baloch Nationalists,2017,3,1.1824650499509608,0.39415501665032027,0,3,3,2.0,3,14.0,0.0,1.0,1.0,0.00027522935779816516
归属记录,Baloch Republican Army (BRA),2015,81,52.821289801873945,0.6521146889120241,60,81,81,13.0,81,45.0,0.7407407407407407,1.0,1.0,0.0054126294687604415
归属记录,Baloch Republican Army (BRA),2016,21,10.050514973938085,0.4785959511399088,8,21,20,17.0,20,14.0,0.38095238095238093,1.0,0.9523809523809523,0.0015455950540958269
归属记录,Baloch Republican Army (BRA),2017,14,6.724572505892385,0.4803266075637418,6,14,14,9.0,14,11.0,0.42857142857142855,1.0,1.0,0.0012844036697247706
归属记录,Baloch Republican Guards (BRG),2015,2,1.52897243126985,0.764486215634925,2,2,2,4.0,2,18.0,1.0,1.0,1.0,0.00013364517206815904
归属记录,Baloch Republican Guards (BRG),2016,1,0.744708328729826,0.744708328729826,1,1,1,0.0,1,0.0,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Baloch Republican Party,2017,2,1.3134952669419302,0.6567476334709651,1,2,2,7.0,2,3.0,0.5,1.0,1.0,0.0001834862385321101
归属记录,Baloch Young Tigers (BYT),2015,3,2.276880730351638,0.758960243450546,2,3,3,29.0,3,173.0,0.6666666666666666,1.0,1.0,0.00020046775810223855
归属记录,Balochistan Liberation United Front (BLUF),2015,5,2.0240646300163543,0.40481292600327085,1,5,5,4.0,5,2.0,0.2,1.0,1.0,0.0003341129301703976
归属记录,Bangladesh Nationalist Party (BNP),2015,19,6.839412885073679,0.3599690992144041,4,19,19,3.0,19,34.0,0.21052631578947367,1.0,1.0,0.0012696291346475108
归属记录,Bangladesh Nationalist Party (BNP),2016,4,2.926674089433125,0.7316685223582813,4,4,4,0.0,4,0.0,1.0,1.0,1.0,0.0002943990579230146
归属记录,Bangladesh Tiger Force,2015,1,0.3571421440930861,0.3571421440930861,0,1,1,2.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Bangsamoro Islamic Freedom Movement (BIFM),2015,90,33.89217000374182,0.37657966670824244,19,90,89,55.0,89,83.0,0.2111111111111111,1.0,0.9888888888888889,0.006014032743067156
归属记录,Bangsamoro Islamic Freedom Movement (BIFM),2016,53,18.314045187966563,0.3455480224144635,10,53,52,32.0,53,194.0,0.18867924528301888,1.0,0.9811320754716981,0.003900787517479944
归属记录,Bangsamoro Islamic Freedom Movement (BIFM),2017,70,28.85034494353272,0.4121477849076103,16,70,70,44.0,70,111.0,0.22857142857142856,1.0,1.0,0.006422018348623854
归属记录,Barak Valley Tiger Force (BVTF),2015,1,0.7447027615324104,0.7447027615324104,1,1,1,0.0,1,3.0,1.0,1.0,1.0,6.682258603407952e-05
归属记录,Barisan Revolusi Nasional (BRN),2015,1,0.4468501221664928,0.4468501221664928,0,1,1,0.0,1,7.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Barisan Revolusi Nasional (BRN),2016,10,4.970674203659916,0.4970674203659916,4,10,10,3.0,10,41.0,0.4,1.0,1.0,0.0007359976448075366
归属记录,Barisan Revolusi Nasional (BRN),2017,62,42.73181897952142,0.6892228867664746,47,62,61,15.0,61,93.0,0.7580645161290323,1.0,0.9838709677419355,0.005688073394495413
